Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT,GOOG,META,MSFT
Date,,,,,,,,,,,,,,,
2024-06-05,176.2352752685547,493.2605285644531,420.78387451171875,177.13102647161713,494.84474550363467,420.8533188907335,174.46365245832024,482.15106322693237,413.1325152430589,175.70279368634698,482.689108921618,414.6310359031759,15233900,15690500,16988000
2024-06-06,177.50924682617188,491.96527099609375,421.28997802734375,177.86755035862805,500.99233691067286,422.07397569799485,176.37462150453698,489.1057078527464,417.3799535645987,176.59357043122796,491.1881073877741,420.7838790172518,14255800,10667300,14861300
2024-06-07,175.12054443359375,491.16815185546875,420.6250915527344,178.5741875907091,497.09653661265514,423.03659533238357,174.9612950507807,488.3883150022529,419.78155282449774,177.61872166754497,494.10744118684374,422.9572173477245,14716300,9380700,13621700
2024-06-10,175.99740600585938,500.77313232421875,424.6144714355469,177.830812412341,500.8329118009078,424.82286513391676,173.7554643619359,491.61653412930673,420.66477334419267,175.81804276819278,492.06488020447483,421.4686078947135,17122200,11236900,14003000
2024-06-11,177.5518035888672,505.6254577636719,429.38787841796875,177.75108423529036,505.75499010691476,429.5268277427762,174.81165288916708,496.458885606851,422.01441801832095,177.08348570749644,498.34203046171433,422.24267892962746,14402400,9673700,14551100
2024-06-12,178.91690063476562,506.99041748046875,437.7041320800781,181.42787947273285,512.141638463432,440.0263242349242,177.14327694877989,502.63630682722663,429.9535579589742,179.10622257947298,512.1216917010327,432.00781534858527,18600400,11983200,22366200
2024-06-13,176.10699462890625,502.2676696777344,438.2201843261719,177.87064426133762,507.50852960132505,440.01644063600304,176.0272793318939,499.537608536514,436.02700779586485,177.2030457535148,503.8718029468352,437.49575798146077,15956900,9954600,15960600
2024-06-14,177.73117065429688,502.8262023925781,439.2026672363281,178.08988193795201,505.80828233509834,439.7683376003339,175.22219861523934,499.42522020615223,433.39717151476515,175.22219861523934,501.32018749550235,434.94529966913103,12361600,10243300,13582000
2024-06-17,178.1396942138672,505.2896728515625,444.9585266113281,179.27561067019667,509.3987681772435,447.5089797746042,175.85790258992213,494.6977738192695,437.3667384679764,176.3461379133103,500.3428034685249,439.22250553797545,15272900,11266600,20790000
2024-06-18,175.8180389404297,498.16851806640625,442.9439697265625,178.26923510757547,504.6613046706333,446.7150751827561,174.99100977195764,493.7103428728897,441.50502038116036,178.14965455035454,503.22511196152465,446.28832386783046,15640300,13060400,17112500
2024-06-20,177.07354736328125,500.3727111816406,442.3088684082031,178.09985725433654,502.3375005534766,443.1325399619797,175.82802417470535,495.45573089177043,437.912551396736,176.0771288124205,500.67190532482755,442.9042790324355,16753200,11801200,19877400
2024-06-21,179.61439514160156,493.47100830078125,446.3578186035156,181.85832853145462,502.1180843319888,447.15171963768364,177.42227746039913,491.08734711442,443.11270951249037,177.8507453258578,502.1180843319888,443.9760852156284,59728000,23130700,34486200
2024-06-24,180.14248657226562,497.590087890625,444.2638854980469,181.4278748991179,506.4565526889867,449.3052206448714,179.58449466770367,492.98231542757276,443.0134626029418,180.6307370908269,497.879329189251,446.37765380757656,18198300,13525300,15913700
2024-06-25,184.91534423828125,509.2491760253906,447.5188903808594,185.08473355620472,509.3588704025715,447.98531552571586,180.45636543703452,494.18911810475925,443.3508346061679,180.49623069074562,495.73500529039063,444.8394216277891,18917700,12109800,16747500
2024-06-26,184.70606994628906,511.762451171875,448.71966552734375,185.26406180555398,512.4506280975238,450.1487114593878,183.33102292285417,503.3447781550123,444.7798707523325,183.5402622680096,505.30956741115574,445.5837053034348,13375700,8882300,16507000
2024-06-27,186.1907501220703,518.1854248046875,449.4044189453125,186.82845731487285,521.4966485589007,452.6991654227889,184.78579647406917,512.5404259555387,448.3326193512516,184.98010536766324,512.8894756293444,448.7395034299803,13025700,10121200,14806300
2024-06-28,182.76307678222656,502.8860168457031,443.5493469238281,185.9117628453365,520.4992985037455,451.9151991305475,182.6684158097748,502.5070173188362,443.0134470896372,185.05484233965822,515.7818318583744,449.6227774267188,23032400,15855100,28362300
2024-07-01,183.82923889160156,503.34478759765625,453.2549133300781,184.67618542202868,505.239754781103,453.8900280472802,182.07553275022136,491.8652596909824,442.2691337894114,183.8192649768011,503.6140927525597,445.2463078469115,11815900,10328200,17662800
2024-07-02,185.941650390625,508.1520690917969,455.7854919433594,186.2804290197841,509.149423496295,456.0931308349297,182.4043617984991,498.12866950132707,449.6624240698802,182.8128970182058,499.4352013362723,449.75176594132466,12555500,7739500,13979800
2024-07-03,186.71885681152344,508.61083984375,457.26416015625,186.94802880286505,509.927354952818,457.5122579984809,184.72103291035663,504.68126108406693,454.39616484845857,185.63276432631835,505.0303412104344,454.70380374999445,7409100,6005600,9932800
2024-07-05,191.27249145507812,538.4815063476562,464.00250244140625,191.5714048253656,539.4389883422043,464.78650009669735,186.6491104769195,510.24644040117533,455.4778642825478,186.6491104769195,510.24644040117533,456.1129790053472,14303400,21354100,16000300
2024-07-08,189.79779052734375,527.9196166992188,462.6925354003906,190.99250141053892,541.3739172645955,464.14144858333964,188.6419566291613,525.2566976048726,460.9260800009118,190.67963062540326,540.9151123448542,463.00017429743497,12097600,14917500,12962300
2024-07-09,189.7579345703125,528.5978393554688,456.0435485839844,192.16926542683404,536.0580308916997,463.7742557192127,189.54868000321284,526.7926303012964,454.51525736098597,191.06324032448242,532.3379184075122,463.4467798855468,10198500,8753200,17207200
2024-07-10,191.96998596191406,533.275390625,462.7024841308594,192.61765188536268,537.4543077142633,462.91087784219644,189.9372837700379,526.9621206539213,455.36869724486377,190.06682303638334,529.3856843777168,457.71075666628917,12052900,10983300,18196100
2024-07-11,186.62918090820312,511.3436279296875,451.2403564453125,191.7208798554092,534.043424473812,461.24364787201716,186.15090430376924,507.02506620743,448.1142994819232,190.65470480345505,529.4855074283807,459.4573555661208,16452000,16458300,23111200
2024-07-12,186.1110382080078,497.5501708984375,450.0990905761719,188.01420111013582,506.7457794296081,452.8877078833818,185.4733310036047,492.92246243757324,447.22116168053736,186.25053618384166,496.4431221547364,450.8731546278995,14449100,19750500,16324300
2024-07-15,187.5159912109375,494.84735107421875,450.5060119628906,189.21985825223288,505.3395081572605,453.7809219031339,185.82208288068784,492.06472384159474,447.99526281806254,185.82208288068784,497.31081760153563,449.851029974842,12186000,12539200,14429400
2024-07-16,184.8356170654297,488.4942321777344,446.09979248046875,189.65827857329185,502.6167744833756,450.84342238707205,184.45697320018698,484.5048144790846,443.26156747821994,188.28323149134974,500.17324396821596,450.764044396858,12760100,14075800,17175700
